name,response
Windows File Download Via CertUtil,"SEARCH process creation telemetry from Windows endpoints and EDR sources (e.g., Windows Security 4688, Sysmon Event ID 1, EDR process events), capturing fields such as event_time, host, user, user_id, vendor_product, action/outcome, process_name, process_path, process_command_line, process_id, process_guid, process_hash, process_integrity_level, original_file_name, parent_process_name, parent_process_path, parent_process_id, parent_process_guid
| FILTER events where the outcome indicates a new process was created or started
| FILTER events where the process represents CertUtil execution, such as:
  - process_name equals ""certutil.exe"" OR
  - original_file_name equals ""CertUtil.exe"" OR
  - process_path ends with ""\certutil.exe"" OR
  - process_command_line contains the token ""certutil"
Windows Credential Access From Browser Password Store,
Detect Computer Changed with Anonymous Account,"SEARCH Windows Security event records from data sources: Windows Event Log Security 4624 and Windows Event Log Security 4742
| FILTER events where event_id equals 4624 OR event_id equals 4742
| FILTER events where TargetUserName equals ""ANONYMOUS LOGON""
| FILTER events where LogonType equals 3
| GROUP records by action, app, authentication_method, dest, dvc, process, process_id, process_name, process_path, signature, signature_id, src, src_port, status, subject, user, user_group, vendor_product
| COMPUTE count as number of records per group, firstTime as earliest event timestamp per group, lastTime as latest event timestamp per group
| FORMAT firstTime and lastTime as human-readable timestamps
| APPLY environment-specific allowlists or suppression rules to remove known benign patterns
| OUTPUT grouped fields with count, firstTime, and lastTime"
Windows Password Managers Discovery,
Windows Suspicious Process File Path,
Allow Network Discovery In Firewall,"SEARCH endpoint process creation events from EDR and OS logs

| FILTER events where process_name equals ""netsh.exe"" OR original_file_name equals ""netsh.exe"" OR process_command_line contains ""netsh""

| FILTER events where process_command_line contains ""firewall""

| FILTER events where process_command_line contains 'group=""Network Discovery""' OR process_command_line contains ""group=Network Discovery""

| FILTER events where process_command_line contains ""enable""

| FILTER events where process_command_line contains ""Yes"" (case-insensitive)

| FILTER events where action indicates a successful process start (if such a field exists)

| GROUP BY action, host, original_file_name, parent_process_name, parent_process_path, parent_process_id, parent_process_guid, parent_process_executable, process_command_line, process_ex"
Suspicious writes to windows Recycle Bin,
Windows Special Privileged Logon On Multiple Hosts,"SEARCH Windows Security events where event_id equals 4672
| PARSE fields: timestamp, Caller_User_Name, Computer, PrivilegeList
| FILTER records where Caller_User_Name is not any of [""DWM-1"",""DWM-2"",""DWM-3"",""LOCAL SERVICE"",""NETWORK SERVICE"",""SYSTEM""] and Caller_User_Name does not end with ""$""
| GROUP records into 5-minute time windows based on timestamp and by Caller_User_Name
| COMPUTE per group: unique_targets = count_distinct(Computer), dest = distinct_values(Computer), privileges = distinct_values(PrivilegeList)
| FILTER groups where unique_targets > 30
| FORMAT rename Caller_User_Name to user
| OUTPUT fields: time_window_start, user, unique_targets, dest, privileges"
Windows Modify Registry USeWuServer,"SEARCH registry modification events from Windows endpoints (e.g., Sysmon Event ID 13) within the desired time range | FILTER registry_path ends with ""\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU\UseWUServer"" (case-insensitive) | FILTER registry_value_data"
Windows Detect Network Scanner Behavior,
MSI Module Loaded by Non-System Binary,"SEARCH Sysmon DLL-load events (event type/code indicating module load) within the desired time window
| FILTER events where loaded module path (ImageLoaded) case-insensitively ends with ""\msi.dll""
| FILTER out events where the process executable path (Image) resides under typical system directories (case-insensitive path contains any of: ""\Windows\System32\"", ""\Windows\SysWOW64\"", ""\Windows\"", ""\Windows\WinSxS\"")
| HANDLE MISSING by replacing null values in the following fields with a placeholder to stabilize grouping: Image, ImageLoaded, dest, loaded_file, loaded_file_path, original_file_name, process_exec, process_guid, process_hash, process_id, process_name, process_path, service_dll_signature_exists, service_dll_signature_verified, signature, signature_id, user_id, vendor_product
| GROUP events by Image, ImageLoaded, dest, loaded_file, loaded_file_path, original_file_name, process_exec, process_guid, process_hash, process_id, process_name, process_path, service_dll_signature_exists, service_dll_signature_verified, signature, signature_id, user_id, vendor_product
| COMPUTE per-group metrics: total event count; earliest event timestamp as firstTime; latest event timestamp as lastTime
| FORMAT firstTime and lastTime into human-readable timestamps
| APPLY environment-specific allowlist/suppression rules to exclude known legitimate binaries or paths if available
| OUTPUT the grouped fields with count, firstTime, and lastTime"
Linux Stdout Redirection To Dev Null File,"SEARCH endpoint process execution events from EDR telemetry within the desired time range
| PARSE fields: timestamp, host, vendor_product, action, user, user_id, process_command_line, process_name, process_path, process_id, process_guid, process_hash, process_integrity_level, process_exec, original_file_name, parent_process_command_line, parent_process_name, parent_process_path, parent_process_id, parent_process_guid, parent_process_exec
| FILTER events where process_command_line contains the substring ""&>/dev/null""
| GROUP events by host, vendor_product, action, user, user_id, original_file_name, process_command_line, process_exec, process_guid, process_hash, process_id, process_integrity_level, process_name, process_path, parent_process_command_line, parent_process_exec, parent_process_guid, parent_process_id, parent_process_name, parent_process_path
| COMPUTE count of events per group
| COMPUTE earliest timestamp per group as firstTime and latest timestamp per group as lastTime
| DERIVE human-readable representations of firstTime and lastTime
| APPLY environment-specific allowlist or suppression rules to exclude known benign command lines or processes (if available)
| OUTPUT grouped fields with count, firstTime, and lastTime"
Windows SQL Server Startup Procedure,"SEARCH Windows Event Log (Application channel) events
| FILTER event_code == 17135
| PARSE field EventData_Xml to extract startup_procedure from the content between <Data> and </Data> tags that contains the stored procedure name
| DERIVE dest = host
| DERIVE lower_startup_procedure = lowercase(startup_procedure)
| DERIVE risk_score = 90 if lower_startup_procedure matches any of [""xp_"", ""sp_"", ""cmdshell"", ""shell"", ""exec""] else 70
| DERIVE risk_message = ""SQL Server startup procedure '"" + startup_procedure + ""' was launched on host "" + dest
| GROUP BY dest, event_code, startup_procedure, risk_message, risk_score AGGREGATE total_events = count(), firstTime = min(event_time), lastTime = max(event_time)
| FORMAT firstTime, lastTime as human_readable_timestamps
| OUTPUT dest, event_code, startup_procedure, risk_score, risk_message, total_events, firstTime, lastTime"
BCDEdit Failure Recovery Modification,
