name,response
Zscaler Phishing Activity Threat Blocked,"SEARCH web proxy log events |
FILTER action equals ""blocked"" |
FILTER threatname starts with ""HTML.Phish"" |
GROUP events BY action, deviceowner, user, threatname, url, src, dest |
COMPUTE for each group: event_count = number of events, first_time = earliest event timestamp, last_time = latest event timestamp |
DERIVE first_time_readable by converting first_time to a human-readable datetime |
DERIVE last_time_readable by converting last_time to a human-readable datetime |
FILTER out grouped results matching any organization-defined allowlists or suppression criteria (optional) |
OUTPUT action, deviceowner, user, threatname, url, src, dest, event_count, first_time, last_time, first_time_readable, last_time_readable"
Detect F5 TMUI RCE CVE-2020-5902,"SEARCH device logs from F5 BIG-IP, BIG-IQ, and Traffix SDC appliances over the desired time range
| PARSE each event to extract fields such as timestamp, source_ip, destination_ip, destination_host, http_method, http_path, http_query_string, http_url, http_request_line, user_agent, status_code, and raw_message
| DERIVE searchable_text by concatenating available HTTP request artifacts and the raw_message (e.g., http_request_line + "" "" + http_url + "" "" + http_path + ""?"" + http_query_string + "" "" + raw_message)
| FILTER events where searchable_text contains either the substring ""hsqldb;"" OR the sequence ""..;"" (two literal dots followed by a semicolon), indicating known exploit patterns for CVE-2020-5902
| APPLY environment-specific suppression filters to remove known benign sources or patterns (for example, trusted scanners, maintenance hosts, or allowlisted IPs/domains)
| OUTPUT matching events with fields: timestamp, source_ip, destination_ip, destination_host, http_method, http_url or composed http_path+http_query_string, user_agent, status_code (if present), and a snippet of raw_message for triage"
Detect Web Access to Decommissioned S3 Bucket,
Web Spring Cloud Function FunctionRouter,"SEARCH web/HTTP request telemetry within the chosen time window |
PARSE each event to extract: http_method, url, http_user_agent, src_ip, dest_ip, http_status, source_type, timestamp |
DERIVE url_length = length(url) if not already present |
FILTER events where http_method == ""POST"" |
FILTER events where url contains ""/functionRouter"" (substring match) |
SELECT fields: http_user_agent, http_method, url, url_length, src_ip, dest_ip, http_status, source_type, timestamp |
GROUP events BY http_user_agent, http_method, url, url_length, src_ip, dest_ip, http_status, source_type |
COMPUTE count = number of events per group, first_seen = earliest timestamp in group, last_seen = latest timestamp in group |
OUTPUT fields: http_user_agent, http_method, url, url_length, src_ip, dest_ip, http_status, source_type, count, first_seen, last_seen"
Web JSP Request via URL,"SEARCH HTTP access logs (e.g., Nginx access) |
FILTER records where http_method equals ""GET"" |
FILTER records where url matches any of the patterns [""*.jsp?cmd=*"", ""*j&cmd=*""] |
DERIVE url_length = length(url) if url_length is not already present |
GROUP records by http_user_agent, http_method, url, url_length, source_ip, destination_ip, source_type |
AGGREGATE count = number of records, first_time = minimum event"
Zscaler Malware Activity Threat Blocked,"SEARCH web proxy security logs within the selected time range
| PARSE fields: event_time, action, threatname, threatcategory, deviceowner, user, urlcategory, url, src, dest
| FILTER action equals ""blocked""
| FILTER threatname contains ""malware""
| FILTER threatcategory exists AND threatcategory not equal to ""None""
| GROUP BY action, deviceowner, user, urlcategory, url, src, dest
| COMPUTE count = number of events in group; firstTime = minimum(event_time); lastTime = maximum(event_time)
| FORMAT firstTime and lastTime into human-readable timestamps as firstTimeReadable, lastTimeReadable
| APPLY organization-defined suppression filters to exclude known benign entities or patterns across deviceowner, user, urlcategory, url, src, dest
| OUTPUT action, deviceowner, user, urlcategory, url, src, dest, count, firstTime, lastTime, firstTimeReadable, lastTimeReadable"
Detect Remote Access Software Usage URL,"SEARCH Palo Alto Networks threat/network logs that contain web/HTTP activity
| PARSE fields: timestamp, action, src_ip, category, url_domain, url_length, http_method, http_user_agent, url, user, dest
| GROUP records BY action, src_ip, category, url_domain, url_length
| COMPUTE for each group: event_count = count(), first_time = min(timestamp), last_time = max(timestamp)
| DERIVE for each group the most recent-by-timestamp values: http_method_latest, http_user_agent_latest, url_latest, user_latest, dest_latest
| FORMAT first_time and last_time as human-readable timestamps
| JOIN each group WITH reference dataset ""remote_access_software"" ON url_domain = remote_domain SELECT fields from reference: isutility, signature (from description), desc (from comment_reference), software_category (from category)
| FILTER where isutility = true
| APPLY environment-specific exception list to remove known/authorized remote access software usage
| APPLY analytic-specific suppression filters as configured for this detection
| OUTPUT action, src_ip, category, url_domain, url_length, http_method_latest AS http_method, http_user_agent_latest AS http_user_agent, url_latest AS url, user_latest AS user, dest_latest AS dest, event_count, first_time, last_time, signature, desc, software_category"
ProxyShell ProxyNotShell Behavior Detected,
Zscaler Legal Liability Threat Blocked,"SEARCH events from Zscaler web proxy logs within the selected time range
| PARSE fields: timestamp, action, deviceowner, user, urlcategory, urlclass, url, src, dest
| FILTER records where urlclass equals ""Legal Liability""
| GROUP records by action, deviceowner, user, urlcategory, url, src, dest
| COMPUTE per group: event_count = count of records; first_seen_time = minimum timestamp; last_seen_time = maximum timestamp
| FORMAT first_seen_time and last_seen_time as human-readable timestamps
| REMOVE_DUPLICATES so that only one record per urlcategory is retained (keep the first encountered)
| APPLY environment-specific suppression or allowlist rules for this detection (if defined)
| OUTPUT fields: action, deviceowner, user, urlcategory, url, src, dest, event_count, first_seen_time, last_seen_time"
Jenkins Arbitrary File Read CVE-2024-23897,"SEARCH web server access logs (e.g., Nginx access)
| PARSE each event to extract timestamp, src_ip, dest_ip, http_method, url, status_code, http_user_agent
| FILTER events where http_method equals ""POST""
| FILTER events where status_code equals 200
| FILTER events where url contains the substring ""/cli?remoting=false""
| GROUP events by src_ip, dest_ip, http_user_agent, url, status_code, http_method
| COMPUTE event_count as the number of events per group, first_seen_time as the minimum timestamp per group, last_seen_time as the maximum timestamp per group
| DERIVE first_seen_time_readable and last_seen_time_readable from first_seen_time and last_seen_time using human-readable time conversion
| APPLY allowlist exclusions (if available) to remove known-benign src_ip, dest_ip, http_user_agent, or url combinations
| FORMAT output fields: src_ip, dest_ip, http_user_agent, url, status_code, http_method, event_count, first_seen_time, last_seen_time, first_seen_time_readable, last_seen_time_readable
| OUTPUT results"
