name,response
Windows User Deletion Via Net,"SEARCH endpoint process creation events within the selected timeframe from EDR/OS process logs | FILTER events where the process executable name or original file name equals ""net.exe"" or ""net1.exe"" | FILTER events where the full command line contains the substring ""user"" and also contains the substring ""/delete"" (case-insensitive) | PROJECT fields needed for analysis: event_time, host, user, user_id, process_id, process_guid, process_name, process_path, command_line, process_integrity_level, process_hash, parent_process_id, parent_process_guid, parent_process_name, parent_process_path, parent_command_line | GROUP records by host, user, process_name, process_path, command_line, process_id, process_guid, process_hash, process_integrity_level, parent_process_name, parent_process_path, parent_command_line, parent_process_id, parent_process_guid | COMPUTE event_count = count(), first_seen_time = minimum(event_time), last_seen_time = maximum(event_time) | DERIVE first_seen_time_readable = format_time(first_seen_time), last_seen_time_readable = format_time"
Windows Attempt To Stop Security Service,
Windows AD Same Domain SID History Addition,"SEARCH Windows Security event logs for account change events | FILTER records where event_id is 4742 OR 4738 | FILTER out records where SidHistory is equal to ""%%1793"" OR ""-"" OR is missing | PARSE SidHistory to DERIVE SidHistoryMatch as the substring starting at the beginning (ignore a leading ""%{"" if present) and ending just before the first occurrence of ""-"" or ""\"" | PARSE TargetSid to DERIVE TargetSidMatch as the substring from the beginning up to (but not including) the first occurrence of ""-"" or ""\"" | FILTER records where SidHistoryMatch equals TargetSidMatch OR SidHistoryMatch equals TargetDomainName | DERIVE userSid = TargetSid, userDomainName = TargetDomainName | PROJECT time, action, status, host, user, userSid, userDomainName, SidHistory, Logon_ID, src_user, dest | OUTPUT results"
Detect Rare Executables,
Windows Remote Services Allow Remote Assistance,"SEARCH endpoint telemetry containing Windows registry value write/set events (e.g., Sysmon Event ID 13 or equivalent) |
FILTER events to those where registry_path contains ""\Control\Terminal Server\fAllowToGetHelp"" (case-insensitive) |
FILTER events to those where registry_value_data equals ""0x00000001"" OR equals ""1"" (enabled) |
FILTER events to those with action indicating a successful registry value write/set (e.g., status = success) |
GROUP records BY action, dest, process_guid, process_id, registry_hive, registry_path, registry_key_name, registry_value_name, registry_value_type, registry_value_data, status, user, vendor_product |
COMPUTE count = number of records per group, firstTime = earliest event timestamp in group, lastTime = latest event timestamp in group |
OUTPUT firstTime, lastTime, count, action, dest, process_guid, process_id, registry_hive, registry_path, registry_key_name, registry_value_name, registry_value_type, registry_value_data, status, user, vendor_product"
Windows Scheduled Task Service Spawned Shell,"SEARCH endpoint process creation events from EDR and Windows process telemetry sources (e.g., Sysmon Event ID 1, CrowdStrike process events) |
PARSE each event to extract"
Windows Impair Defense Change Win Defender Tracing Level,
Windows Registry Entries Restored Via Reg,
System User Discovery With Whoami,
Windows System User Privilege Discovery,"SEARCH process execution events from Endpoint/EDR and Windows process creation telemetry within the requested time range
| FILTER events where process_name equals ""whoami.exe""
| FILTER events where command_line contains the substring ""/priv"" (case-insensitive)
| GROUP events by action, host, original_file_name, parent_command_line, parent_executable, parent_process_guid, parent_pid, parent_name, parent_path, command_line, executable, process_guid, process_hash, pid, integrity_level, process_name, process_path, user, user_id, vendor_product
| COMPUTE event_count per group, first_seen_time as the minimum event timestamp per group, last_seen_time as the maximum event timestamp per group
| DERIVE human_readable_first_seen from first_seen_time, human_readable_last_seen from last_seen_time
| APPLY environment-specific allowlist exclusions on any of: host, user, process_name, parent_name, command_line, to remove known benign occurrences
| OUTPUT event_count, first_seen_time, last_seen_time, human_readable_first_seen, human_readable_last_seen, and all grouping fields for each result"
